DateTime,Entries,UniqueIPs
1609909265,5202,5448
1609911144,5212,5459
1609913058,5204,5454
1609915038,5205,5455
1609916897,5200,5451
1609918836,5198,5447
1609920763,5197,5445
1609922666,5196,5444
1609924603,5196,5442
1609926534,5204,5450
1609928437,5209,5454
1609930339,5220,5465
1609933230,5225,5468
1609935174,5224,5464
1609937075,5218,5457
1609939231,5239,5478
1609941183,5229,5467
1609943101,5240,5478
1609945017,5253,5490
1609946907,5248,5485
1609948846,5259,5496
1609953634,5261,5496
1609955541,5258,5490
1609957522,5235,5465
1609960384,5224,5454
1609962277,5215,5444
1609964199,5210,5439
1609966149,5225,5455
1609968058,5217,5446
1609969944,5214,5445
1609971895,5220,5449
1609973803,5221,5450
1609975729,5228,5457
1609977679,5238,5467
1609979565,5236,5466
1609981472,5236,5465
1609984353,5234,5461
1609986305,5231,5458
1609988209,5237,5464
1609990335,5252,5479
1609992282,5259,5486
1609994229,5277,5505
1609996117,5274,5502
1609998031,5281,5510
1609999964,5277,5506
1610001863,5292,5520
1610003825,5287,5515
1610005737,5287,5513
1610007621,5305,5531
1610009529,5298,5522
1610011494,5295,5519
1610013382,5295,5519
1610015551,5293,5517
1610017517,5300,5523
1610019398,5301,5525
1610021366,5299,5525
1610023235,5287,5514
1610025142,5286,5512
1610027106,5293,5519
1610028991,5285,5511
1610032859,5272,5500
1610034764,5277,5505
1610036654,5275,5504
1610038613,5276,5506
1610040503,5280,5510
1610042669,5277,5506
1610044623,5283,5512
1610046585,5286,5515
1610048452,5277,5506
1610050339,5267,5496
1610052318,5270,5499
1610055158,5278,5504
1610057080,5273,5498
1610059016,5272,5497
1610061894,5265,5490
1610064776,5262,5487
1610066657,5263,5489
1610068581,5263,5490
1610070536,5266,5496
1610072430,5261,5488
1610074338,5257,5488
1610076339,5245,5477
1610078197,5235,5469
1610080356,5230,5465
1610082310,5231,5467
1610084198,5218,5453
1610086091,5196,5432
1610088970,5180,5416
1610090930,5174,5410
1610092827,5181,5417
1610094779,5188,5424
1610096713,5210,5447
1610098597,5216,5453
1610100510,5216,5453
1610102477,5227,5464
1610104368,5236,5475
1610107247,5229,5463
1610109186,5234,5469
1610111066,5236,5471
1610112997,5229,5465
1610115869,5225,5461
1610117814,5233,5469
1610119704,5242,5478
1610121688,5248,5483
1610123548,5248,5483
1610125473,5255,5490
1610127438,5261,5498
1610129333,5260,5495
1610134104,5249,5487
1610136132,5263,5500
1610138225,5262,5499
1610140105,5263,5502
1610142024,5281,5522
1610143988,5269,5510
1610145880,5275,5518
1610147778,5285,5526
1610149752,5294,5535
1610152628,5281,5523
1610154515,5296,5538
1610156670,5297,5539
1610158626,5304,5545
1610160503,5304,5544
1610162435,5296,5538
1610164394,5297,5539
1610166275,5296,5538
1610168234,5284,5526
1610170117,5294,5537
1610172972,5293,5536
1610174901,5298,5540
1610177787,5303,5542
1610179744,5318,5559
1610181655,5317,5558
1610183553,5313,5554
1610185503,5319,5560
1610187388,5334,5577
1610189305,5342,5584
1610193145,5334,5576
1610195068,5337,5580
1610197026,5343,5585
1610198908,5348,5590
1610200887,5354,5596
1610204696,5369,5611
1610206619,5366,5608
1610208522,5362,5603
1610210443,5372,5614
1610213348,5360,5601
1610215284,5359,5601
1610218143,5371,5613
1610221047,5337,5580
1610222912,5339,5581
1610224860,5332,5575
1610226816,5332,5574
1610228668,5323,5562
1610230576,5330,5570
1610232533,5341,5582
1610234441,5342,5583
1610236349,5339,5583
1610238335,5341,5585
1610240223,5343,5588
1610242105,5353,5600
1610244085,5352,5599
1610245946,5361,5608
1610247872,5358,5607
1610249833,5363,5614
1610251726,5354,5604
1610254867,5346,5591
1610256756,5347,5592
1610258677,5337,5582
1610260616,5331,5574
1610262495,5321,5570
1610264423,5319,5568
1610266371,5319,5569
1610268273,5332,5583
1610270181,5334,5586
1610272134,5343,5595
1610275015,5357,5613
1610276900,5370,5626
1610278818,5370,5626
1610280773,5379,5635
1610282702,5391,5647
1610284642,5400,5657
1610286524,5403,5659
1610288426,5406,5662
1610290379,5408,5665
1610292296,5402,5659
1610294201,5423,5680
1610296151,5435,5695
1610298033,5432,5692
1610299957,5444,5704
1610303793,5435,5695
1610305762,5450,5711
1610307638,5446,5707
1610309541,5446,5708
1610311505,5439,5704
1610313389,5429,5693
1610317297,5418,5682
1610319147,5423,5687
1610321060,5414,5680
1610323021,5416,5679
1610324930,5413,5676
1610326830,5414,5681
1610328787,5410,5678
1610330669,5410,5678
1610332580,5420,5690
1610334536,5423,5693
1610337419,5431,5701
1610342219,5419,5688
1610344088,5436,5705
1610346055,5439,5710
1610347931,5443,5714
1610349870,5440,5711
1610351811,5456,5727
1610353698,5444,5715
1610355678,5442,5712
1610358509,5444,5713
1610361396,5439,5708
1610363310,5447,5715
1610365235,5457,5726
1610367165,5468,5739
1610369048,5463,5735
1610371248,5457,5728
1610373159,5456,5727
1610375103,5463,5735
1610376987,5469,5740
1610379170,5477,5746
1610381074,5479,5750
1610383033,5480,5751
1610384922,5481,5752
1610387800,5480,5752
1610389696,5486,5758
1610391668,5488,5760
1610394543,5480,5751
1610396420,5479,5751
1610399330,5479,5751
1610401218,5480,5752
1610404116,5477,5750
1610406068,5478,5751
1610408013,5487,5762
1610409908,5494,5767
1610411821,5488,5760
1610413720,5490,5762
1610415638,5495,5767
1610417583,5507,5779
1610419472,5501,5773
1610421380,5505,5773
1610423350,5504,5776
1610426223,5491,5765
1610428112,5488,5762
1610430271,5492,5766
1610432177,5495,5769
1610434149,5510,5784
1610437252,5506,5780
1610439154,5508,5782
1610441073,5509,5783
1610443039,5499,5775
1610444913,5498,5776
1610447781,5486,5762
1610449735,5485,5761
1610451631,5490,5766
1610453573,5503,5779
1610455739,5504,5779
1610457630,5502,5776
1610459567,5518,5792
1610461499,5530,5803
1610463381,5541,5814
1610465315,5548,5821
1610467291,5556,5831
1610469148,5560,5835
1610471087,5567,5840
1610473051,5563,5836
1610474927,5560,5835
1610476836,5561,5837
1610478790,5560,5836
1610480682,5567,5842
1610482601,5565,5840
1610484536,5563,5836
1610486427,5564,5836
1610488351,5574,5846
1610490336,5576,5851
1610492214,5579,5854
1610494153,5572,5847
1610496987,5569,5840
1610498942,5574,5842
1610500828,5582,5847
1610502740,5585,5850
1610504697,5585,5849
1610506598,5588,5854
1610508533,5593,5859
1610510588,5596,5861
1610512617,5595,5860
1610515497,5596,5858
1610517375,5608,5869
1610520267,5594,5855
1610522174,5598,5860
1610524154,5597,5859
1610526024,5586,5848
1610527944,5579,5840
1610529944,5575,5837
1610532785,5583,5847
1610534657,5574,5838
1610536575,5574,5837
1610538537,5568,5833
1610540427,5565,5829
1610542357,5563,5826
1610544273,5553,5816
1610547146,5546,5810
1610549104,5547,5809
1610551507,5549,5811
1610553396,5548,5811
1610556270,5538,5802
1610559164,5533,5796
1610561107,5534,5795
1610563001,5533,5794
1610565195,5538,5796
1610567098,5542,5800
1610569947,5542,5800
1610571911,5546,5803
1610573806,5544,5801
1610575941,5546,5806
1610577858,5551,5808
1610579786,5551,5807
1610581741,5550,5806
1610583635,5557,5813
1610585569,5557,5813
1610587501,5558,5814
1610589398,5565,5823
1610591300,5571,5830
1610593236,5571,5831
1610595160,5573,5834
1610598018,5573,5834
1610600938,5555,5813
1610602865,5548,5805
1610604732,5567,5825
1610606668,5552,5810
1610608629,5548,5810
1610610499,5555,5821
1610612676,5540,5806
1610614631,5545,5811
1610616502,5554,5820
1610618427,5560,5825
1610622281,5579,5848
1610624225,5567,5836
1610626106,5587,5857
1610628285,5590,5858
1610630224,5595,5866
1610632122,5592,5864
1610634029,5600,5867
1610635977,5627,5894
1610637882,5630,5897
1610641737,5616,5883
1610643646,5616,5882
1610645806,5623,5891
1610647721,5629,5898
1610649697,5632,5898
1610651588,5628,5895
1610654717,5649,5922
1610656615,5643,5917
1610658540,5657,5932
1610660449,5654,5928
1610662351,5662,5938
1610664308,5673,5946
1610666189,5690,5964
1610669072,5692,5966
1610671035,5705,5980
1610673908,5689,5968
1610675790,5691,5969
1610678684,5696,5975
1610682505,5690,5976
1610684425,5703,5991
1610686376,5716,6006
1610688302,5723,6013
1610690203,5736,6032
1610692099,5746,6042
1610694978,5755,6050
1610697869,5744,6040
1610699839,5738,6034
1610701704,5747,6045
1610703646,5745,6042
1610705609,5739,6037
1610707474,5739,6038
1610710339,5723,6023
1610712304,5723,6023
1610714198,5709,6010
1610716159,5713,6014
1610718092,5713,6014
1610719952,5729,6032
1610721866,5738,6042
1610723847,5735,6041
1610725699,5732,6038
1610727669,5739,6047
1610729572,5738,6047
1610731475,5749,6058
1610733383,5752,6061
1610735345,5752,6062
1610737240,5763,6074
1610740103,5757,6067
1610742019,5743,6053
1610743992,5744,6054
1610745862,5738,6048
1610747840,5740,6047
1610749730,5740,6047
1610752571,5747,6054
1610754529,5739,6045
1610756457,5735,6040
1610758350,5731,6038
1610760274,5725,6032
1610762237,5716,6023
1610764118,5704,6011
1610766039,5705,6014
1610767989,5701,6013
1610770883,5703,6015
1610772760,5698,6009
1610775646,5676,5988
1610778505,5671,5984
1610780450,5657,5971
1610783297,5654,5970
1610785268,5652,5968
1610788166,5658,5974
1610790069,5650,5965
1610791945,5645,5963
1610793900,5647,5963
1610795784,5647,5963
1610797707,5665,5982
1610799654,5667,5984
1610801543,5670,5986
1610803506,5670,5986
1610805388,5671,5988
1610807341,5676,5993
1610809377,5695,6013
1610812341,5676,5994
1610816209,5649,5969
1610819064,5647,5967
1610820986,5645,5965
1610822909,5657,5978
1610824821,5665,5986
1610827723,5650,5972
1610829677,5662,5982
1610831555,5670,5990
1610833449,5665,5985
1610835426,5664,5981
1610838318,5660,5977
1610840187,5658,5971
1610845025,5633,5944
1610846935,5639,5950
1610848833,5648,5960
1610850787,5646,5958
1610852667,5658,5972
1610854593,5665,5981
1610856548,5650,5967
1610858441,5663,5982
1610861317,5669,5987
1610863229,5677,5994
1610865187,5685,6000
1610867092,5688,6003
1610869002,5690,6005
1610871878,5693,6007
1610873860,5692,6006
1610875719,5699,6013
1610877648,5692,6010
1610879638,5702,6020
1610882500,5688,6005
1610884354,5694,6010
1610886264,5686,5998
1610890102,5680,5991
1610892032,5673,5989
1610893980,5662,5975
1610895875,5659,5971
1610897799,5657,5970
1610899739,5657,5973
1610901627,5646,5961
1610905513,5636,5951
1610907387,5647,5962
1610909553,5641,5962
1610911487,5634,5958
1610913422,5637,5961
1610916338,5629,5951
1610918210,5629,5951
1610920110,5636,5960
1610922057,5649,5973
1610923948,5638,5962
1610925863,5651,5975
1610927854,5644,5968
1610929725,5660,5986
1610931671,5647,5973
1610933597,5650,5977
1610935455,5659,5989
1610938345,5650,5979
1610941469,5645,5974
1610943428,5639,5967
1610946286,5646,5974
1610948238,5633,5961
1610950377,5633,5960
1610952284,5644,5970
1610954256,5651,5975
1610957117,5637,5960
1610958990,5636,5958
1610960899,5634,5957
1610963789,5632,5957
1610965786,5643,5968
1610967642,5642,5967
